symbol,side,entry,exit,pnl,reason,time
XRP/USDT,SHORT,0.55975,0.4923673172843913,36.48893900671902,TP3_FULL,2024-08-05 04:30:00
INJ/USDT,SHORT,18.432000000000002,17.23872372272085,15.793767775308554,TP2_5%,2024-08-05 04:30:00
INJ/USDT,SHORT,18.432000000000002,16.045447445441695,96.34943596711135,TP3_FULL,2024-08-05 05:00:00
TIA/USDT,SHORT,4.54945,4.72066891756504,-137.33288597658375,STOP_LOSS,2024-08-05 14:15:00
DOT/USDT,SHORT,4.073499999999999,4.216247442044472,-104.4636748676992,STOP_LOSS,2024-08-05 14:30:00
BTC/USDT,SHORT,54127.399999999994,55622.61831178125,-127.29252403005765,STOP_LOSS,2024-08-06 00:30:00
BTC/USDT,SHORT,56033.7,56569.83743201955,-54.1244572044921,STOP_LOSS,2024-08-08 01:45:00
LTC/USDT,SHORT,56.864999999999995,57.704636482398655,-49.60321490795432,STOP_LOSS,2024-08-08 02:00:00
INJ/USDT,SHORT,16.0935,15.689467081024585,11.318381122699595,TP1_80%,2024-08-08 04:45:00
INJ/USDT,SHORT,16.0935,16.0935,-0.2568972594284395,BE_STOP,2024-08-08 12:30:00
BCH/USDT,SHORT,340.22,343.4145096943559,-15.6157032274179,STOP_LOSS,2024-08-12 07:30:00
LINK/USDT,SHORT,10.423,10.308339037578696,10.042111718273246,TP1_80%,2024-08-12 08:30:00
TIA/USDT,SHORT,5.39375,5.477074992587283,-14.435211571641435,STOP_LOSS,2024-08-12 08:30:00
FET/USDT,SHORT,0.8598,0.8445997068820138,10.861512895817754,TP1_80%,2024-08-12 10:00:00
LINK/USDT,SHORT,10.423,10.423,-0.5571667737448696,BE_STOP,2024-08-12 10:15:00
FET/USDT,SHORT,0.8598,0.8598,-0.3459840895060845,BE_STOP,2024-08-12 10:15:00
WIF/USDT,SHORT,1.7206000000000001,1.7472728017591144,-14.429495527753383,STOP_LOSS,2024-08-12 11:15:00
LINK/USDT,SHORT,10.423,10.526849326409065,-12.821174105911123,STOP_LOSS,2024-08-12 11:15:00
OP/USDT,SHORT,1.3780000000000001,1.3941496695177553,-15.00031086594646,STOP_LOSS,2024-08-12 11:15:00
SOL/USDT,SHORT,148.84699999999998,146.55004768487802,10.4978921793039,TP1_80%,2024-08-12 13:30:00
SOL/USDT,SHORT,148.84699999999998,148.84699999999998,-0.39034139667141843,BE_STOP,2024-08-12 14:30:00
DOT/USDT,SHORT,4.44,4.396254366693335,6.440155856051954,TP1_80%,2024-08-15 05:45:00
DOT/USDT,SHORT,4.44,4.44,-0.4095502823186813,BE_STOP,2024-08-15 12:15:00
DOT/USDT,SHORT,4.44,4.392187848384692,9.897551729339298,TP1_80%,2024-08-15 18:15:00
DOT/USDT,SHORT,4.44,4.300547891122017,2.0743420328483246,TP2_5%,2024-08-15 18:30:00
NEAR/USDT,SHORT,4.021,3.9621424185759184,8.794284183027383,TP1_80%,2024-08-16 18:30:00
NEAR/USDT,SHORT,4.021,4.021,-0.34754011436004517,BE_STOP,2024-08-16 19:30:00
ETH/USDT,SHORT,2618.245,2589.7525472706056,8.314564726782592,TP1_80%,2024-08-16 23:00:00
DOGE/USDT,SHORT,0.10142999999999999,0.1002312872045807,8.462637302492128,TP1_80%,2024-08-16 23:00:00
BNB/USDT,SHORT,522.715,518.4365709945002,6.184249334566708,TP1_80%,2024-08-16 23:00:00
NEAR/USDT,SHORT,4.021,3.9661571453040407,8.727158218204808,TP1_80%,2024-08-16 23:00:00
BNB/USDT,SHORT,522.715,522.715,-0.5242414272693675,BE_STOP,2024-08-17 05:00:00
DOGE/USDT,SHORT,0.10142999999999999,0.10142999999999999,-0.47349701794324206,BE_STOP,2024-08-17 13:00:00
